Date,Rate,ObsStatus,ObsConf,Freq,Currency,CurrencyDenom,EXR_TYPE,EXR_SUFFIX
2010-01-04,1.4873,A,F,D,CHF,EUR,SP00,A
2010-01-05,1.4856,A,F,D,CHF,EUR,SP00,A
2010-01-06,1.4823,A,F,D,CHF,EUR,SP00,A
2010-01-07,1.4832,A,F,D,CHF,EUR,SP00,A
2010-01-08,1.4815,A,F,D,CHF,EUR,SP00,A
2010-01-11,1.4755,A,F,D,CHF,EUR,SP00,A
2010-01-12,1.4743,A,F,D,CHF,EUR,SP00,A
2010-01-13,1.4788,A,F,D,CHF,EUR,SP00,A
2010-01-14,1.4804,A,F,D,CHF,EUR,SP00,A
2010-01-15,1.4756,A,F,D,CHF,EUR,SP00,A
2010-01-18,1.4745,A,F,D,CHF,EUR,SP00,A
2010-01-19,1.476,A,F,D,CHF,EUR,SP00,A
2010-01-20,1.4763,A,F,D,CHF,EUR,SP00,A
2010-01-21,1.4723,A,F,D,CHF,EUR,SP00,A
2010-01-22,1.4708,A,F,D,CHF,EUR,SP00,A
2010-01-25,1.4728,A,F,D,CHF,EUR,SP00,A
2010-01-26,1.4723,A,F,D,CHF,EUR,SP00,A
2010-01-27,1.4721,A,F,D,CHF,EUR,SP00,A
2010-01-28,1.4725,A,F,D,CHF,EUR,SP00,A
2010-01-29,1.4662,A,F,D,CHF,EUR,SP00,A
2010-02-01,1.4725,A,F,D,CHF,EUR,SP00,A
2010-02-02,1.4733,A,F,D,CHF,EUR,SP00,A
2010-02-03,1.4738,A,F,D,CHF,EUR,SP00,A
2010-02-04,1.469,A,F,D,CHF,EUR,SP00,A
2010-02-05,1.4682,A,F,D,CHF,EUR,SP00,A
2010-02-08,1.4659,A,F,D,CHF,EUR,SP00,A
2010-02-09,1.4672,A,F,D,CHF,EUR,SP00,A
2010-02-10,1.4658,A,F,D,CHF,EUR,SP00,A
2010-02-11,1.4663,A,F,D,CHF,EUR,SP00,A
2010-02-12,1.465,A,F,D,CHF,EUR,SP00,A
2010-02-15,1.4661,A,F,D,CHF,EUR,SP00,A
2010-02-16,1.4678,A,F,D,CHF,EUR,SP00,A
2010-02-17,1.4679,A,F,D,CHF,EUR,SP00,A
2010-02-18,1.4651,A,F,D,CHF,EUR,SP00,A
2010-02-19,1.4658,A,F,D,CHF,EUR,SP00,A
2010-02-22,1.4649,A,F,D,CHF,EUR,SP00,A
2010-02-23,1.4667,A,F,D,CHF,EUR,SP00,A
2010-02-24,1.4641,A,F,D,CHF,EUR,SP00,A
