Date,Rate,ObsStatus,ObsConf,Freq,Currency,CurrencyDenom,EXR_TYPE,EXR_SUFFIX
2010-01-04,9.8238,A,F,D,CNY,EUR,SP00,A
2010-01-05,9.8598,A,F,D,CNY,EUR,SP00,A
2010-01-06,9.7973,A,F,D,CNY,EUR,SP00,A
2010-01-07,9.7663,A,F,D,CNY,EUR,SP00,A
2010-01-08,9.7449,A,F,D,CNY,EUR,SP00,A
2010-01-11,9.9174,A,F,D,CNY,EUR,SP00,A
2010-01-12,9.8863,A,F,D,CNY,EUR,SP00,A
2010-01-13,9.9419,A,F,D,CNY,EUR,SP00,A
2010-01-14,9.89,A,F,D,CNY,EUR,SP00,A
2010-01-15,9.813,A,F,D,CNY,EUR,SP00,A
2010-01-18,9.8097,A,F,D,CNY,EUR,SP00,A
2010-01-19,9.7488,A,F,D,CNY,EUR,SP00,A
2010-01-20,9.6481,A,F,D,CNY,EUR,SP00,A
2010-01-21,9.6012,A,F,D,CNY,EUR,SP00,A
2010-01-22,9.6498,A,F,D,CNY,EUR,SP00,A
2010-01-25,9.6607,A,F,D,CNY,EUR,SP00,A
2010-01-26,9.6157,A,F,D,CNY,EUR,SP00,A
2010-01-27,9.6067,A,F,D,CNY,EUR,SP00,A
2010-01-28,9.557,A,F,D,CNY,EUR,SP00,A
2010-01-29,9.5343,A,F,D,CNY,EUR,SP00,A
2010-02-01,9.499,A,F,D,CNY,EUR,SP00,A
2010-02-02,9.5147,A,F,D,CNY,EUR,SP00,A
2010-02-03,9.5463,A,F,D,CNY,EUR,SP00,A
2010-02-04,9.4532,A,F,D,CNY,EUR,SP00,A
2010-02-05,9.347,A,F,D,CNY,EUR,SP00,A
2010-02-08,9.3355,A,F,D,CNY,EUR,SP00,A
2010-02-09,9.3935,A,F,D,CNY,EUR,SP00,A
2010-02-10,9.3847,A,F,D,CNY,EUR,SP00,A
2010-02-11,9.3757,A,F,D,CNY,EUR,SP00,A
2010-02-12,9.2737,A,F,D,CNY,EUR,SP00,A
2010-02-15,9.2977,A,F,D,CNY,EUR,SP00,A
2010-02-16,9.3264,A,F,D,CNY,EUR,SP00,A
2010-02-17,9.379,A,F,D,CNY,EUR,SP00,A
2010-02-18,9.2703,A,F,D,CNY,EUR,SP00,A
2010-02-19,9.2375,A,F,D,CNY,EUR,SP00,A
2010-02-22,9.3017,A,F,D,CNY,EUR,SP00,A
2010-02-23,9.2686,A,F,D,CNY,EUR,SP00,A
2010-02-24,9.2485,A,F,D,CNY,EUR,SP00,A
2010-02-25,9.2087,A,F,D,CNY,EUR,SP00,A
2010-02-26,9.2629,A,F,D,CNY,EUR,SP00,A
2010-03-01,9.2326,A,F,D,CNY,EUR,SP00,A
2010-03-02,9.2485,A,F,D,CNY,EUR,SP00,A
2010-03-03,9.3111,A,F,D,CNY,EUR,SP00,A
2010-03-04,9.3303,A,F,D,CNY,EUR,SP00,A
2010-03-05,9.2718,A,F,D,CNY,EUR,SP00,A
2010-03-08,9.3269,A,F,D,CNY,EUR,SP00,A
2010-03-09,9.2544,A,F,D,CNY,EUR,SP00,A
2010-03-10,9.29,A,F,D,CNY,EUR,SP00,A
2010-03-11,9.3231,A,F,D,CNY,EUR,SP00,A
2010-03-12,9.3953,A,F,D,CNY,EUR,SP00,A
2010-03-15,9.355,A,F,D,CNY,EUR,SP00,A
2010-03-16,9.3672,A,F,D,CNY,EUR,SP00,A
2010-03-17,9.3898,A,F,D,CNY,EUR,SP00,A
2010-03-18,9.3245,A,F,D,CNY,EUR,SP00,A
2010-03-19,9.2486,A,F,D,CNY,EUR,SP00,A
2010-03-22,9.1961,A,F,D,CNY,EUR,SP00,A
2010-03-23,9.2285,A,F,D,CNY,EUR,SP00,A
2010-03-24,9.1054,A,F,D,CNY,EUR,SP00,A
2010-03-25,9.1183,A,F,D,CNY,EUR,SP00,A
2010-03-26,9.1161,A,F,D,CNY,EUR,SP00,A
2010-03-29,9.1958,A,F,D,CNY,EUR,SP00,A
2010-03-30,9.2025,A,F,D,CNY,EUR,SP00,A
2010-03-31,9.2006,A,F,D,CNY,EUR,SP00,A
2010-04-01,9.1937,A,F,D,CNY,EUR,SP00,A
2010-04-06,9.1438,A,F,D,CNY,EUR,SP00,A
2010-04-07,9.1054,A,F,D,CNY,EUR,SP00,A
2010-04-08,9.0739,A,F,D,CNY,EUR,SP00,A
2010-04-09,9.1331,A,F,D,CNY,EUR,SP00,A
2010-04-12,9.2727,A,F,D,CNY,EUR,SP00,A
2010-04-13,9.2712,A,F,D,CNY,EUR,SP00,A
2010-04-14,9.2932,A,F,D,CNY,EUR,SP00,A
2010-04-15,9.2451,A,F,D,CNY,EUR,SP00,A
