Date,Rate,ObsStatus,ObsConf,Freq,Currency,CurrencyDenom,EXR_TYPE,EXR_SUFFIX
2010-01-04,0.8914,A,F,D,GBP,EUR,SP00,A
2010-01-05,0.90045,A,F,D,GBP,EUR,SP00,A
2010-01-06,0.8986,A,F,D,GBP,EUR,SP00,A
2010-01-07,0.8996,A,F,D,GBP,EUR,SP00,A
2010-01-08,0.8934,A,F,D,GBP,EUR,SP00,A
2010-01-11,0.8989,A,F,D,GBP,EUR,SP00,A
2010-01-12,0.8972,A,F,D,GBP,EUR,SP00,A
2010-01-13,0.8946,A,F,D,GBP,EUR,SP00,A
2010-01-14,0.8905,A,F,D,GBP,EUR,SP00,A
2010-01-15,0.88105,A,F,D,GBP,EUR,SP00,A
2010-01-18,0.8795,A,F,D,GBP,EUR,SP00,A
2010-01-19,0.8743,A,F,D,GBP,EUR,SP00,A
2010-01-20,0.8692,A,F,D,GBP,EUR,SP00,A
2010-01-21,0.87,A,F,D,GBP,EUR,SP00,A
2010-01-22,0.8763,A,F,D,GBP,EUR,SP00,A
2010-01-25,0.8773,A,F,D,GBP,EUR,SP00,A
2010-01-26,0.8733,A,F,D,GBP,EUR,SP00,A
2010-01-27,0.86725,A,F,D,GBP,EUR,SP00,A
2010-01-28,0.8616,A,F,D,GBP,EUR,SP00,A
2010-01-29,0.86655,A,F,D,GBP,EUR,SP00,A
2010-02-01,0.87485,A,F,D,GBP,EUR,SP00,A
2010-02-02,0.87375,A,F,D,GBP,EUR,SP00,A
2010-02-03,0.8762,A,F,D,GBP,EUR,SP00,A
2010-02-04,0.8731,A,F,D,GBP,EUR,SP00,A
2010-02-05,0.87325,A,F,D,GBP,EUR,SP00,A
2010-02-08,0.8761,A,F,D,GBP,EUR,SP00,A
2010-02-09,0.8804,A,F,D,GBP,EUR,SP00,A
2010-02-10,0.8798,A,F,D,GBP,EUR,SP00,A
2010-02-11,0.8775,A,F,D,GBP,EUR,SP00,A
2010-02-12,0.8691,A,F,D,GBP,EUR,SP00,A
2010-02-15,0.8676,A,F,D,GBP,EUR,SP00,A
2010-02-16,0.8705,A,F,D,GBP,EUR,SP00,A
2010-02-17,0.869,A,F,D,GBP,EUR,SP00,A
2010-02-18,0.8704,A,F,D,GBP,EUR,SP00,A
2010-02-19,0.8783,A,F,D,GBP,EUR,SP00,A
2010-02-22,0.8797,A,F,D,GBP,EUR,SP00,A
2010-02-23,0.8802,A,F,D,GBP,EUR,SP00,A
2010-02-24,0.8775,A,F,D,GBP,EUR,SP00,A
